time,milliseconds,measurement,value,field,type,host,device,platform
15:46:34:262,17037,IMU,-13,gy,gyration,Name,Device1,Android
15:46:34:262,17037,IMU,-10,gz,gyration,Name,Device1,Android
15:46:34:284,17060,IMU,1249,mx,magnet,Name,Device1,Android
15:46:34:284,17060,IMU,-6082,my,magnet,Name,Device1,Android
15:46:34:284,17060,IMU,2948,mz,magnet,Name,Device1,Android
15:46:34:307,17082,sensor,118,a0,adc,Name,Device1,Android
15:46:34:329,17104,IMU,37,ax,acceleration,Name,Device1,Android
15:46:34:329,17104,IMU,15,ay,acceleration,Name,Device1,Android
15:46:34:329,17104,IMU,18,az,acceleration,Name,Device1,Android
15:46:34:353,17128,IMU,2,gx,gyration,Name,Device1,Android
15:46:34:353,17128,IMU,77,gy,gyration,Name,Device1,Android
15:46:34:353,17128,IMU,2,gz,gyration,Name,Device1,Android
15:46:34:375,17150,IMU,1257,mx,magnet,Name,Device1,Android
15:46:34:375,17150,IMU,-6130,my,magnet,Name,Device1,Android
15:46:34:375,17150,IMU,2886,mz,magnet,Name,Device1,Android
15:46:34:398,17173,sensor,27,a0,adc,Name,Device1,Android
15:46:34:422,17197,IMU,-327,ax,acceleration,Name,Device1,Android
15:46:34:422,17197,IMU,128,ay,acceleration,Name,Device1,Android
15:46:34:422,17197,IMU,-258,az,acceleration,Name,Device1,Android
15:46:34:443,17218,IMU,11,gx,gyration,Name,Device1,Android
15:46:34:443,17218,IMU,-12,gy,gyration,Name,Device1,Android
15:46:34:443,17218,IMU,7,gz,gyration,Name,Device1,Android
15:46:34:464,17240,IMU,1314,mx,magnet,Name,Device1,Android
15:46:34:464,17240,IMU,-6093,my,magnet,Name,Device1,Android
15:46:34:464,17240,IMU,2863,mz,magnet,Name,Device1,Android
15:46:34:487,17262,sensor,93,a0,adc,Name,Device1,Android
15:46:34:509,17284,IMU,453,ax,acceleration,Name,Device1,Android
15:46:34:509,17284,IMU,472,ay,acceleration,Name,Device1,Android
15:46:34:509,17284,IMU,614,az,acceleration,Name,Device1,Android
15:46:34:533,17308,IMU,53,gx,gyration,Name,Device1,Android
15:46:34:533,17308,IMU,51,gy,gyration,Name,Device1,Android
15:46:34:533,17308,IMU,-122,gz,gyration,Name,Device1,Android
15:46:34:554,17329,IMU,1509,mx,magnet,Name,Device1,Android
15:46:34:554,17329,IMU,-6132,my,magnet,Name,Device1,Android
15:46:34:554,17329,IMU,2997,mz,magnet,Name,Device1,Android
15:46:34:577,17352,sensor,255,a0,adc,Name,Device1,Android
15:46:34:599,17375,IMU,-1959,ax,acceleration,Name,Device1,Android
15:46:34:599,17375,IMU,1959,ay,acceleration,Name,Device1,Android
15:46:34:599,17375,IMU,-866,az,acceleration,Name,Device1,Android
15:46:34:622,17397,IMU,-486,gx,gyration,Name,Device1,Android
15:46:34:622,17397,IMU,-484,gy,gyration,Name,Device1,Android
15:46:34:622,17397,IMU,-70,gz,gyration,Name,Device1,Android
15:46:34:644,17419,IMU,2437,mx,magnet,Name,Device1,Android
15:46:34:644,17419,IMU,-6344,my,magnet,Name,Device1,Android
15:46:34:644,17419,IMU,2955,mz,magnet,Name,Device1,Android
15:46:34:667,17442,sensor,581,a0,adc,Name,Device1,Android
15:46:34:669,17444,sensor,40.5821312,v,velocity,Name,Device1,Android
15:46:34:689,17464,IMU,292,ax,acceleration,Name,Device1,Android
15:46:34:689,17464,IMU,384,ay,acceleration,Name,Device1,Android
15:46:34:689,17464,IMU,-417,az,acceleration,Name,Device1,Android
15:46:34:712,17487,IMU,88,gx,gyration,Name,Device1,Android
15:46:34:712,17487,IMU,7,gy,gyration,Name,Device1,Android
